datetime,J [mm/hr],Q [mm/hr],Storage [mm],Cl_obs [umol/L],D_obs [per mil],Cl_inj [umol/L],D_inj [per mil],L [mm/hr]
2014-09-06 23:30:00,12.477515831479364,11.191073684210522,403.2274354666667,,,13.699999999999996,-58.75,403.2274354666667
2014-09-06 23:45:00,12.620008414922902,11.35338947368422,403.73112039999995,,,13.699999999999996,-58.75,403.73112039999995
2014-09-07 00:00:00,12.444482161520813,11.580631578947393,404.17783253333334,48.707,-59.164445,13.699999999999996,-58.75,404.17783253333334
2014-09-07 00:15:00,12.666362962312398,11.807873684210552,404.5736269333334,,,13.699999999999996,-58.75,404.5736269333334
2014-09-07 00:30:00,12.585966465110857,11.90526315789476,404.95035179999996,,,13.699999999999996,-58.75,404.95035179999996
2014-09-07 00:45:00,12.503931184075919,12.123115789473701,405.2660102000001,,,13.699999999999996,-58.75,405.2660102000001
2014-09-07 01:00:00,12.63001223591741,12.23418947368422,405.56911413333336,48.0863,-58.078096,13.699999999999996,-58.75,405.56911413333336
2014-09-07 01:15:00,12.535228664575849,12.345263157894744,405.8270829333334,,,13.699999999999996,-58.75,405.8270829333334
2014-09-07 01:30:00,0.0,11.942021052631585,404.05898753333344,,,13.699999999999996,-58.75,404.05898753333344
2014-09-07 01:45:00,0.0,10.184715789473694,401.14328853333336,,,13.699999999999996,-58.75,401.14328853333336
2014-09-07 02:00:00,0.0,8.886189473684196,398.76464246666666,62.6346,-59.196041,13.699999999999996,-58.75,398.76464246666666
2014-09-07 02:15:00,0.0,7.975578947368424,396.62004233333334,,,13.699999999999996,-58.75,396.62004233333334
2014-09-07 02:30:00,0.0,7.273456842105281,394.6203728666667,,,13.699999999999996,-58.75,394.6203728666667
2014-09-07 02:45:00,0.0,6.574172631578951,392.7807931333333,,,13.699999999999996,-58.75,392.7807931333333
2014-09-07 03:00:00,0.0,5.983915789473671,391.034955,75.7523,-58.095794,13.699999999999996,-58.75,391.034955
2014-09-07 03:15:00,0.0,5.561936842105263,389.41222626666666,,,13.699999999999996,-58.75,389.41222626666666
2014-09-07 03:30:00,0.0,5.271840000000002,387.88018859999994,,,13.699999999999996,-58.75,387.88018859999994
2014-09-07 03:45:00,0.0,5.0560336842105285,386.43067780000007,,,13.699999999999996,-58.75,386.43067780000007
2014-09-07 04:00:00,0.0,4.840227368421052,385.11357186666663,85.6728,-58.24874825,13.699999999999996,-58.75,385.11357186666663
2014-09-07 04:15:00,0.0,4.655250526315787,383.90878706666666,,,13.699999999999996,-58.75,383.90878706666666
2014-09-07 04:30:00,0.0,4.501103157894736,382.7889210666668,,,13.699999999999996,-58.75,382.7889210666668
2014-09-07 04:45:00,0.0,4.346955789473685,381.7347378666667,,,13.699999999999996,-58.75,381.7347378666667
2014-09-07 05:00:00,0.0,4.223637894736844,380.7328597333334,93.5002,-57.030565,13.699999999999996,-58.75,380.7328597333334
2014-09-07 05:15:00,0.0,4.131149473684213,379.7413819333333,,,13.699999999999996,-58.75,379.7413819333333
2014-09-07 05:30:00,0.0,3.9770021052631606,378.79488879999997,,,13.699999999999996,-58.75,378.79488879999997
2014-09-07 05:45:00,0.0,3.7920252631578966,377.8747391333334,,,13.699999999999996,-58.75,377.8747391333334
2014-09-07 06:00:00,0.0,3.3912421052631574,376.9605732,98.7404,-57.979265,13.699999999999996,-58.75,376.9605732
2014-09-07 06:15:00,0.0,3.1754357894736827,376.0782694,,,13.699999999999996,-58.75,376.0782694
2014-09-07 06:30:00,0.0,3.0212884210526307,375.2172524666667,,,13.699999999999996,-58.75,375.2172524666667
2014-09-07 06:45:00,0.0,2.9596294736842097,374.3695858666667,,,13.699999999999996,-58.75,374.3695858666667
2014-09-07 07:00:00,0.0,2.836311578947368,373.53628519999995,98.8049,-58.276483,13.699999999999996,-58.75,373.53628519999995
2014-09-07 07:15:00,0.0,2.7746526315789475,372.7410357333334,,,13.699999999999996,-58.75,372.7410357333334
2014-09-07 07:30:00,0.0,2.712993684210527,371.95025460000005,,,13.699999999999996,-58.75,371.95025460000005
2014-09-07 07:45:00,0.0,2.6513347368421063,371.18823513333336,,,13.699999999999996,-58.75,371.18823513333336
2014-09-07 08:00:00,0.0,2.5896757894736857,370.44629139999995,101.5632,-56.797355,13.699999999999996,-58.75,370.44629139999995
2014-09-07 08:15:00,0.0,2.5588463157894754,369.6727293333334,,,13.699999999999996,-58.75,369.6727293333334
2014-09-07 08:30:00,0.0,2.4971873684210544,368.89394646666665,,,13.699999999999996,-58.75,368.89394646666665
2014-09-07 08:45:00,0.0,2.466357894736844,368.12416666666667,116.721,-56.704375,13.699999999999996,-58.75,368.12416666666667
2014-09-07 09:00:00,16.293117951101767,2.219722105263159,369.6705263999999,100.88623333333334,-57.397109666666665,13.699999999999996,-58.75,369.6705263999999
2014-09-07 09:15:00,13.793393435603393,2.404698947368423,372.93084533333337,,,13.699999999999996,-58.75,372.93084533333337
2014-09-07 09:30:00,12.664177917200197,2.4971873684210544,375.6527545333333,,,13.699999999999996,-58.75,375.6527545333333
2014-09-07 09:45:00,12.272242689831781,2.743823157894737,378.1963596666667,,,13.699999999999996,-58.75,378.1963596666667
2014-09-07 10:00:00,12.028070480021581,2.95962947368421,380.59294486666664,,,13.699999999999996,-58.75,380.59294486666664
2014-09-07 10:15:00,11.789326659393337,3.3295831578947364,382.8562779333333,,,13.699999999999996,-58.75,382.8562779333333
2014-09-07 10:30:00,11.944801833160712,4.223637894736842,384.9622773333333,88.0223,-59.578024,13.699999999999996,-58.75,384.9622773333333
2014-09-07 10:45:00,11.810579513837297,4.809397894736842,386.88938913333334,,,13.699999999999996,-58.75,386.88938913333334
2014-09-07 11:00:00,11.48315182008851,5.302669473684213,388.6232154666667,75.6715,-57.552425,13.699999999999996,-58.75,388.6232154666667
2014-09-07 11:15:00,11.20049122529181,5.896993684210516,390.1642501999999,,,13.699999999999996,-58.75,390.1642501999999
2014-09-07 11:30:00,11.181944667683494,6.527553684210528,391.50560906666664,,,13.699999999999996,-58.75,391.50560906666664
2014-09-07 11:45:00,11.70261590833443,7.1802189473684415,392.7759576,,,13.699999999999996,-58.75,392.7759576
2014-09-07 12:00:00,23.375958793628882,7.822989473684216,395.4210885333334,62.0387,-59.189196,6915.0,-58.75,395.4210885333334
2014-09-07 12:15:00,24.235477879468537,9.730231578947366,399.5038386666667,,,6915.0,-58.75,399.5038386666667
2014-09-07 12:30:00,24.811755885636664,12.335957894736856,403.11224060000006,,,6915.0,-58.75,403.11224060000006
2014-09-07 12:45:00,24.69416623501082,15.090694736842114,406.0425887333333,,,6915.0,-58.75,406.0425887333333
2014-09-07 13:00:00,24.668064159965898,17.12425263157895,408.47807966666676,65.675,-59.256219,6915.0,-58.75,408.47807966666676
2014-09-07 13:15:00,24.09548756756774,18.580168421052626,410.41492379999994,,,6915.0,-58.75,410.41492379999994
2014-09-07 13:30:00,0.0,16.522526315789477,407.63716313333333,,,13.699999999999996,-58.75,407.63716313333333
2014-09-07 13:45:00,0.0,11.39271578947369,403.5438504666667,,,13.699999999999996,-58.75,403.5438504666667
2014-09-07 14:00:00,0.0,10.087326315789486,400.42634773333333,131.5281,-59.47935,13.699999999999996,-58.75,400.42634773333333
2014-09-07 14:15:00,0.0,9.210821052631568,397.5674753333333,,,13.699999999999996,-58.75,397.5674753333333
2014-09-07 14:30:00,0.0,8.49663157894736,394.8783162,,,13.699999999999996,-58.75,394.8783162
2014-09-07 14:45:00,0.0,7.866821052631585,392.4428742,,,13.699999999999996,-58.75,392.4428742
